240,655,304,634,325,628,364,660,333,695,227,703,198,697,177,635,196,619,306,568,349,590
426,836,398,746,388,726,428,699,457,730,469,839,457,871,396,895,405,849,342,741,356,709
585,622,490,625,462,622,442,599,473,555,617,588,650,589,637,687,609,668,470,681,438,651
376,439,386,510,391,532,379,560,338,531,335,418,334,383,389,384,401,398,450,521,420,553
374,408,413,454,430,481,432,514,390,508,332,406,314,402,350,354,376,354,491,474,510,532
476,558,427,644,407,662,338,644,368,622,451,525,471,507,546,513,528,533,467,693,434,726
385,761,321,696,300,682,306,620,344,645,437,736,433,763,398,823,381,798,257,703,227,659
235,608,209,514,198,486,238,460,270,486,289,627,270,618,206,654,221,630,145,528,141,485
255,580 299,634 306,650 308,716 272,694 211,584 184,562 236,526 265,518 353,625 373,675
308,761 239,770 210,767 200,737 232,718 340,696 328,721 389,784 359,776 233,841 189,837
478,625 431,691 403,706 374,683 378,645 464,564 486,574 541,608 541,619 441,751 390,755
484,426 474,493 463,516 450,564 418,522 443,388 437,356 503,370 529,386 527,542 551,602
336,390 370,432 383,446 384,496 340,483 282,394 261,364 302,346 332,330 438,428 455,464
423,541 405,620 399,636 341,669 349,630 403,508 406,488 474,453 464,490 445,655 430,697
349,726 391,745 411,750 440,809 398,806 308,752 267,754 294,686 330,677 436,701 476,737
408,836 335,817 314,807 314,769 351,766 460,806 474,838 437,870 447,887 296,861 262,821
502,456 418,472 398,479 328,470 360,440 533,394 546,406 556,506 540,494 422,529 366,532
484,685 468,612 457,592 520,514 522,566 535,727 537,772 449,778 449,749 416,585 421,535
277,728 199,703 183,697 171,637 217,646 338,679 330,723 333,800 320,771 156,754 116,725
336,534 291,604 279,621 215,648 223,606 316,490 298,470 393,516 374,530 347,641 318,691
301,351 339,398 348,412 345,490 316,460 245,344 207,318 247,286 296,285 406,383 412,418
476,490 398,532 372,538 329,535 342,490 500,432 527,408 554,500 528,506 401,594 356,584
293,588 220,627 199,640 168,604 184,566 299,550 302,523 352,603 330,598 245,682 194,693
352,786 313,709 296,691 335,620 350,665 420,784 391,820 340,866 342,829 249,729 243,684
